Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	21.434782608695652	10.103060607973863	-inf	46	0.982	0.0005	4.992306232452393e-05
2000	23.51764705882353	15.39794620736299	-inf	85	0.964	0.0005	0.0005240560902489556
3000	24.17	14.922503141229356	24.61	128	0.946	0.0005	0.0008969149986902872
4000	21.81	9.781303594102372	24.61	172	0.9279999999999999	0.0005	0.0012922955221600003
5000	21.4	10.782393055347223	24.61	221	0.91	0.0005	0.001676809721522861
6000	21.6	12.029962593458052	24.61	267	0.892	0.0005	0.0020203742053773667
7000	22.55	14.513011403564734	24.61	309	0.874	0.0005	0.002384045852555169
8000	24.79	16.216840012776842	24.89	345	0.856	0.0005	0.0027635038561291164
9000	26.55	17.57178135534357	26.55	383	0.838	0.0005	0.003137903610865275
10000	28.4	16.557173671855953	28.43	415	0.82	0.0005	0.0035147508647706775
11000	29.93	17.453512540460157	29.93	445	0.802	0.0005	0.003877329428990682
12000	33.11	18.397768886470992	33.11	472	0.784	0.0005	0.004273364941279094
13000	37.23	19.771117823734702	37.23	495	0.766	0.0005	0.0046650203069051105
14000	39.26	22.345746798887706	39.26	518	0.748	0.0005	0.005062973565525479
15000	43.75	27.657322719308894	44.15	535	0.73	0.0005	0.005452605883280436
16000	46.64	27.852296135148354	47.06	557	0.712	0.0005	0.005879893302917481
17000	45.18	28.649041868795543	47.06	582	0.694	0.0005	0.006333681146303813
18000	49.16	34.138752174032376	49.16	598	0.6759999999999999	0.0005	0.006746794713868035
19000	50.48	34.44807106355884	50.66	616	0.6579999999999999	0.0005	0.007155366937319438
20000	52.27	36.16568954133185	52.27	632	0.6399999999999999	0.0005	0.007565257218148973
21000	54.17	40.97708017904643	54.17	644	0.622	0.0005	0.00802360110812717
22000	59.02	44.606721466613074	59.24	655	0.604	0.0005	0.008486701912350125
23000	65.95	50.15981957702799	65.97	666	0.586	0.0005	0.008959874709447225
24000	72.33	54.980006365950885	72.41	676	0.5680000000000001	0.0005	0.00943408555454678
25000	79.12	57.47943632291465	79.12	684	0.55	0.0005	0.009911098877588908
26000	82.43	59.861883532010594	83.39	694	0.532	0.0005	0.010347041620148554
27000	88.52	61.59780515570339	88.52	702	0.514	0.0005	0.010724163916375902
28000	93.86	64.07027704013773	93.86	708	0.4959999999999999	0.0005	0.011050994396209718
29000	99.53	65.57567460575606	99.53	715	0.478	0.0005	0.011508052481545343
30000	107.78	65.6608833324682	107.78	722	0.45999999999999996	0.0005	0.011984781357977125
31000	113.19	66.1969327083967	113.19	729	0.44199999999999995	0.0005	0.012461513015958998
32000	117.09	67.34034377696628	117.32	735	0.42399999999999993	0.0005	0.012897677222887675
33000	123.28	66.4493912688446	123.28	741	0.4059999999999999	0.0005	0.013353610767258538
34000	127.75	67.20451993727804	127.75	746	0.3879999999999999	0.0005	0.013907506399684482
35000	132.92	67.01517440102651	132.92	751	0.37	0.0005	0.014484750827153524
36000	137.44	66.18614960850948	137.44	757	0.352	0.0005	0.015031647483507792
37000	143.82	64.08281829008459	143.82	762	0.33399999999999996	0.0005	0.015622352494133844
38000	146.12	63.57079203533649	147.54	768	0.31599999999999995	0.0005	0.016088375250498454
39000	150.59	61.59124856665922	150.59	773	0.29799999999999993	0.0005	0.016582491927676732
40000	157.06	58.71998297002478	157.06	778	0.2799999999999999	0.0005	0.017098488277859158
41000	159.41	58.39470780815673	159.41	783	0.262	0.0005	0.017639117505815295
42000	164.5	57.10140103359987	164.5	788	0.244	0.0005	0.018186396625306873
43000	169.83	51.592839619466574	169.83	793	0.22599999999999998	0.0005	0.018729692498842876
44000	174.14	47.68522202947156	174.14	798	0.20799999999999996	0.0005	0.019255753027068244
45000	177.85	44.59627226573987	177.85	803	0.18999999999999995	0.0005	0.01978541612625122
46000	179.06	44.37607914180792	179.06	808	0.17199999999999993	0.0005	0.020300577481587728
47000	182.33	41.242224721758156	182.33	813	0.15400000000000003	0.0005	0.020820940600501166
48000	183.26	40.507436354328824	183.26	818	0.136	0.0005	0.021351227495405408
49000	186.26	38.47586776149435	186.26	823	0.118	0.0005	0.0218849296702279
50000	189.09	33.973252714451704	189.09	828	0.1	0.0005	0.022414026392830744
51000	192.09	29.171251258730745	192.09	833	0.0984	0.0005	0.023064270549350313
52000	193.96	24.647076905791483	193.96	839	0.09680000000000001	0.0005	0.02374445332421197
53000	193.88	24.640324673185617	193.96	844	0.0952	0.0005	0.02448336362838745
54000	193.86	24.640219154869545	193.96	849	0.0936	0.0005	0.025215344429016115
