Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	19.21153846153846	7.593865283294694	-inf	52	0.982	0.0005	0.00012392481168111165
2000	20.306122448979593	8.225654447340167	-inf	98	0.964	0.0005	0.001369386116663615
3000	20.93	9.0202605283883	21.4	146	0.946	0.0005	0.002242619726392958
4000	22.09	10.735078015552565	22.31	187	0.9279999999999999	0.0005	0.0031327503257327608
5000	22.54	11.296388803507075	23.33	233	0.91	0.0005	0.004095289508501689
6000	22.0	10.530906893520616	23.33	276	0.892	0.0005	0.005110055340660943
7000	23.91	16.517321211382917	24.42	313	0.874	0.0005	0.006081057522031996
8000	28.35	20.333408469806532	28.35	341	0.856	0.0005	0.007192510565121968
9000	31.05	21.37679816997859	31.19	375	0.838	0.0005	0.008067401713795132
10000	31.42	19.280134854300165	32.29	406	0.82	0.0005	0.009272345039579603
11000	35.03	22.398863810470388	35.91	428	0.802	0.0005	0.010305042266845704
12000	35.14	23.478509322356906	35.91	457	0.784	0.0005	0.011115997499889797
13000	35.34	24.605779808817278	37.7	486	0.766	0.0005	0.011965473095575968
14000	40.69	29.13029179393849	40.69	503	0.748	0.0005	0.012852032780647277
15000	41.49	30.93493009528226	41.5	524	0.73	0.0005	0.014321970608499315
16000	43.33	31.284518535531276	43.33	550	0.712	0.0005	0.01522628472910987
17000	43.82	31.605499521444052	45.67	569	0.694	0.0005	0.01615218612882826
18000	49.09	35.318577264663425	49.09	585	0.6759999999999999	0.0005	0.017210233145289952
19000	51.35	37.345247354917866	51.88	600	0.6579999999999999	0.0005	0.01809727172056834
20000	56.26	39.490662187408304	57.27	614	0.6399999999999999	0.0005	0.018901379505793254
21000	58.77	41.733644700648895	59.24	627	0.622	0.0005	0.019753295050726996
22000	65.04	45.64907885160444	65.04	636	0.604	0.0005	0.020568666126992968
23000	70.25	47.26253801902729	70.49	648	0.586	0.0005	0.021536250644259982
24000	75.04	51.59165048726392	75.04	657	0.5680000000000001	0.0005	0.022400505079163444
25000	80.33	53.04056089447018	80.33	669	0.55	0.0005	0.023497486445638868
26000	84.58	54.98475788798201	84.58	677	0.532	0.0005	0.024729269809193082
27000	88.85	56.37151319593966	90.04	686	0.514	0.0005	0.02583125478691525
28000	94.15	58.6902675066318	94.15	695	0.4959999999999999	0.0005	0.026795890000131394
29000	98.42	60.127062126799444	98.42	703	0.478	0.0005	0.027619584997495016
30000	102.05	61.64436308374027	102.05	710	0.45999999999999996	0.0005	0.028454709185494316
31000	107.29	63.692432046515535	107.29	717	0.44199999999999995	0.0005	0.02937070780330234
32000	111.34	63.46451291863824	111.34	724	0.42399999999999993	0.0005	0.0302843181292216
33000	114.48	64.62375414659846	115.84	732	0.4059999999999999	0.0005	0.03117817415131463
34000	117.82	65.76235701372023	117.82	738	0.3879999999999999	0.0005	0.03214625749323103
35000	122.41	64.41973222546024	122.41	744	0.37	0.0005	0.03303548998302883
36000	128.57	62.93683420700473	128.57	750	0.352	0.0005	0.03406655198997922
37000	131.12	62.078543797354016	131.62	755	0.33399999999999996	0.0005	0.035227096411916944
38000	135.68	61.5510974719379	135.68	761	0.31599999999999995	0.0005	0.03626335839430491
39000	141.53	59.00075507991402	141.53	766	0.29799999999999993	0.0005	0.03735738535722097
40000	145.95	58.424716516214275	145.95	771	0.2799999999999999	0.0005	0.038448066976335314
41000	149.76	56.92611351567925	150.41	777	0.262	0.0005	0.03948408451345232
42000	152.96	54.88112972598141	153.01	783	0.244	0.0005	0.04059879197014703
43000	157.24	52.69954838516171	157.24	788	0.22599999999999998	0.0005	0.041524854765997994
44000	160.97	49.449864509420046	160.97	794	0.20799999999999996	0.0005	0.04246875392066108
45000	165.25	46.02398831044524	165.25	799	0.18999999999999995	0.0005	0.04348018447558085
46000	165.64	46.776387205512144	166.43	805	0.17199999999999993	0.0005	0.044254630870289274
47000	169.18	42.30020803731348	169.18	811	0.15400000000000003	0.0005	0.04504792948563894
48000	170.57	40.32028149703323	170.57	816	0.136	0.0005	0.046015206972757974
49000	172.78	38.821277670885586	172.86	821	0.118	0.0005	0.04700390583939022
50000	174.82	34.69362477458935	175.46	827	0.1	0.0005	0.048038481407695344
51000	178.57	30.098589667956205	178.57	832	0.0984	0.0005	0.048917361696561176
52000	179.39	26.731589926527008	179.39	838	0.09680000000000001	0.0005	0.049732487532827586
53000	180.99	26.18338977290755	180.99	843	0.0952	0.0005	0.050666542251904804
54000	180.75	26.0865386741898	180.99	849	0.0936	0.0005	0.05155567341380649
55000	180.75	25.888366112985963	180.99	855	0.092	0.0005	0.05256416029400296
56000	180.8	25.957657829627077	180.99	860	0.09040000000000001	0.0005	0.053668628070089555
57000	181.02	25.984603133394202	181.48	865	0.0888	0.0005	0.0548250886466768
58000	181.12	26.21803959109071	181.48	871	0.0872	0.0005	0.05594527006149292
59000	180.89	26.48014161593552	181.74	876	0.08560000000000001	0.0005	0.05703197532229953
60000	182.07	20.87402931874917	182.72	882	0.084	0.0005	0.058191893365648055
61000	183.04	20.89972248619584	183.04	887	0.0824	0.0005	0.05931196749210357
62000	181.53	22.754979674787666	183.04	893	0.08080000000000001	0.0005	0.060418722497092354
63000	181.27	22.7424075242706	183.04	898	0.0792	0.0005	0.06143547892570496
64000	181.12	21.066219404534834	183.04	905	0.0776	0.0005	0.06255464282300738
65000	181.27	21.246578548086276	183.04	910	0.07600000000000001	0.0005	0.06364402724636925
66000	181.16	21.53542198332784	183.04	915	0.07440000000000001	0.0005	0.0645192336373859
67000	181.35	21.960134334743948	183.04	921	0.0728	0.0005	0.06546661668353611
68000	173.62	40.107550411362695	183.04	930	0.07120000000000001	0.0005	0.06635489808188544
