Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	22.40909090909091	12.653275145227282	-inf	44	0.982	0.0005	9.381837315029569e-05
2000	22.166666666666668	13.402528782949052	-inf	90	0.964	0.0005	0.0011260502868228489
3000	21.24	11.875285259731658	22.65	140	0.946	0.0005	0.001973530054092407
4000	20.64	12.794154915429154	22.65	187	0.9279999999999999	0.0005	0.0028775939014222887
5000	20.28	12.991597284398868	22.65	237	0.91	0.0005	0.0038034628497229683
6000	19.81	9.611134168244662	22.65	288	0.892	0.0005	0.004796793924437629
7000	21.79	12.470200479543223	22.65	329	0.874	0.0005	0.005662373039457533
8000	24.66	16.589285698908196	24.66	365	0.856	0.0005	0.006570374502076043
9000	26.29	17.351250675383607	26.59	402	0.838	0.0005	0.007518790827857123
10000	27.29	15.67947384321298	27.55	438	0.82	0.0005	0.00850649310482873
11000	27.81	13.540823460927328	28.59	473	0.802	0.0005	0.00942708671092987
12000	30.13	14.103655554500756	30.38	502	0.784	0.0005	0.010544743604130215
13000	32.13	16.149708975706034	32.21	531	0.766	0.0005	0.011454889509412978
14000	33.95	19.629251131920444	34.03	556	0.748	0.0005	0.012550505333476597
15000	37.45	26.7261575988768	38.17	581	0.73	0.0005	0.013674337797694737
16000	36.86	26.200007633586672	38.17	610	0.712	0.0005	0.014490197830730014
17000	40.87	32.63484487476538	40.96	628	0.694	0.0005	0.015318805575370789
18000	45.08	36.167853129540326	45.08	645	0.6759999999999999	0.0005	0.016217196649975247
19000	48.49	38.12728550526512	48.49	660	0.6579999999999999	0.0005	0.017662694520420498
20000	51.12	38.67900722614271	51.24	676	0.6399999999999999	0.0005	0.018532670338948568
21000	57.89	42.390540218308146	57.89	687	0.622	0.0005	0.0194751681221856
22000	63.4	45.873739764706336	63.62	702	0.604	0.0005	0.02045981506506602
23000	66.59	45.86613020519607	66.59	716	0.586	0.0005	0.021391606397098965
24000	70.93	47.43400784247521	70.93	726	0.5680000000000001	0.0005	0.022201130919986302
25000	73.5	47.067717174301116	74.31	739	0.55	0.0005	0.023027073078685338
26000	78.93	49.59622062214016	78.93	748	0.532	0.0005	0.023835517830318873
27000	84.8	53.53503525729669	84.8	754	0.514	0.0005	0.024757923947440252
28000	89.74	57.87842776026316	89.74	760	0.4959999999999999	0.0005	0.02563363280561235
29000	95.62	60.51343321941005	96.07	765	0.478	0.0005	0.026654115584161548
30000	100.74	62.266302283016614	100.74	771	0.45999999999999996	0.0005	0.027855900327364604
31000	107.02	64.0434196463618	107.76	779	0.44199999999999995	0.0005	0.028998226986991036
32000	110.25	66.56100585177481	111.97	786	0.42399999999999993	0.0005	0.02996605310175154
33000	115.15	67.04168479386539	115.15	792	0.4059999999999999	0.0005	0.030782942838139003
34000	121.14	67.35562634257067	121.14	797	0.3879999999999999	0.0005	0.031600629488627116
35000	129.38	66.2748489247618	129.38	802	0.37	0.0005	0.0324810031387541
36000	136.74	64.52853942249119	136.74	808	0.352	0.0005	0.033434078958299425
37000	142.36	63.046414648257354	142.36	813	0.33399999999999996	0.0005	0.034319524500105114
38000	147.02	62.09250840479873	147.02	818	0.31599999999999995	0.0005	0.035283205575413173
39000	152.29	60.15268821923091	152.29	824	0.29799999999999993	0.0005	0.03617902451091343
40000	156.76	58.787093821688444	156.76	829	0.2799999999999999	0.0005	0.036990620030297176
41000	162.52	55.18251172246512	162.52	835	0.262	0.0005	0.038255786697069805
42000	169.32	50.08510357381723	169.32	840	0.244	0.0005	0.03927407085895538
43000	174.09	46.733520089973965	174.09	845	0.22599999999999998	0.0005	0.04027338114049699
44000	176.84	44.95302436989085	176.84	850	0.20799999999999996	0.0005	0.04141419894165463
45000	178.66	44.34393306868483	178.66	855	0.18999999999999995	0.0005	0.04246846397717794
46000	180.19	42.370436627441066	180.19	860	0.17199999999999993	0.0005	0.043361188371976216
47000	181.56	41.10920091658314	181.56	865	0.15400000000000003	0.0005	0.044447546667522854
48000	182.61	40.93162469289485	182.61	870	0.136	0.0005	0.04542066474755605
49000	185.07	39.02313544552769	185.07	875	0.118	0.0005	0.04641545865270826
50000	188.35	32.741220197176524	188.35	880	0.1	0.0005	0.04728534420331319
51000	190.37	27.338856962206744	190.37	885	0.0984	0.0005	0.048030868106418184
52000	193.31	18.818977124169106	193.32	890	0.09680000000000001	0.0005	0.048859382271766665
53000	194.07	18.433803188707426	194.07	895	0.0952	0.0005	0.04999473035335541
54000	194.22	18.420412590384615	194.22	900	0.0936	0.0005	0.05100910504659017
55000	195.59	15.158558638604136	195.59	905	0.092	0.0005	0.051878713104459975
56000	195.81	14.947036495573297	195.81	910	0.09040000000000001	0.0005	0.05271182782120175
57000	195.89	14.947839308742921	195.89	915	0.0888	0.0005	0.05360378728972541
58000	191.68	31.951488228250028	196.74	923	0.0872	0.0005	0.054462471670574615
59000	191.55	32.09622251916882	196.74	928	0.08560000000000001	0.0005	0.05545168783929613
60000	191.62	32.1607773537892	196.74	934	0.084	0.0005	0.05648384584320916
61000	192.16	32.06235175404324	196.74	939	0.0824	0.0005	0.05763172725836436
62000	178.65	54.602815861455355	196.74	950	0.08080000000000001	0.0005	0.058772625592019824
63000	178.71	54.622942981864306	196.74	955	0.0792	0.0005	0.059821990662150916
64000	177.52	54.93186324893777	196.74	961	0.0776	0.0005	0.06090541667408413
65000	177.5	54.92403845312178	196.74	966	0.07600000000000001	0.0005	0.06201718476083543
66000	173.83	59.165877835117094	196.74	973	0.07440000000000001	0.0005	0.06308412863148584
67000	173.82	59.161538181490855	196.74	978	0.0728	0.0005	0.06417783783541785
68000	173.68	59.11427577159345	196.74	983	0.07120000000000001	0.0005	0.06526797142293718
69000	173.67	59.10990695306499	196.74	988	0.06960000000000001	0.0005	0.06635856250921886
70000	173.37	59.013160396643734	196.74	993	0.068	0.0005	0.06737348251872592
71000	173.22	58.95991519668257	196.74	998	0.06640000000000001	0.0005	0.06825523753960927
72000	173.22	58.95991519668258	196.74	1003	0.0648	0.0005	0.06918567226992713
73000	173.54	59.017526210440245	196.74	1008	0.0632	0.0005	0.07007931503984663
74000	173.31	58.94348055552878	196.74	1013	0.06160000000000001	0.0005	0.07097946200105879
75000	177.3	54.81997811017439	196.74	1018	0.060000000000000005	0.0005	0.07190514531400469
76000	179.14	52.41011734388696	196.74	1023	0.0584	0.0005	0.07325253201855554
77000	179.75	52.33782093285887	196.74	1028	0.0568	0.0005	0.07415909727414449
78000	180.32	52.294527438346734	196.74	1033	0.0552	0.0005	0.07523766643471189
79000	180.32	52.294527438346734	196.74	1038	0.05360000000000001	0.0005	0.07595134172174665
80000	188.68	37.74092738659187	196.74	1044	0.052000000000000005	0.0005	0.07667214890321096
81000	193.03	27.561006875656776	196.74	1049	0.05040000000000001	0.0005	0.07729388892650604
82000	192.98	27.552851032152734	196.74	1054	0.0488	0.0005	0.07790954642825657
83000	193.85	26.361477576190595	196.74	1059	0.0472	0.0005	0.0785561498006185
84000	194.07	26.243953589350827	196.74	1064	0.0456	0.0005	0.0792014311419593
85000	197.74	7.498826574871565	197.74	1069	0.04400000000000001	0.0005	0.07982809702555338
86000	197.74	7.498826574871566	197.74	1074	0.04240000000000001	0.0005	0.08045688947041829
87000	197.87	7.439966397773582	197.87	1079	0.0408	0.0005	0.08122495697604286
88000	197.4	9.147677300823418	197.87	1084	0.039200000000000006	0.0005	0.08197484168741438
89000	197.41	9.149967213056012	197.87	1089	0.0376	0.0005	0.08262269390953912
90000	197.23	10.114202885052286	197.87	1094	0.036000000000000004	0.0005	0.08332016977998946
91000	197.38	10.068545078609919	197.87	1099	0.034400000000000014	0.0005	0.08400629560152689
92000	196.79	11.328984950117993	197.87	1105	0.03280000000000001	0.0005	0.0846392461988661
93000	191.05	31.563071776999145	197.87	1113	0.031200000000000006	0.0005	0.0852570703294542
94000	189.13	33.80196887756688	197.87	1119	0.0296	0.0005	0.08590270777543386
95000	187.18	38.18884130213956	197.87	1125	0.027999999999999997	0.0005	0.08652170115047031
96000	180.09	48.13316839768602	197.87	1133	0.026400000000000007	0.0005	0.087200685011016
97000	175.65	53.602495277738704	197.87	1141	0.024800000000000003	0.0005	0.08789612339602576
98000	162.78	64.94914626074771	197.87	1152	0.023200000000000012	0.0005	0.08874204092555577
99000	159.77	65.94177052521414	197.87	1159	0.021600000000000008	0.0005	0.0898413775364558
100000	156.41	66.40618871761879	197.87	1166	0.02	0.0005	0.09082337644365099
