Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	19.215686274509803	7.824831578692902	-inf	51	0.982	0.0005	4.98399469587538e-05
2000	21.725274725274726	9.93392006116764	-inf	91	0.964	0.0005	0.0006893010934193929
3000	23.07	11.00023181573916	23.53	136	0.946	0.0005	0.001259801122877333
4000	23.14	11.939028436183575	23.56	178	0.9279999999999999	0.0005	0.0018515011337068346
5000	22.05	11.352863075013282	23.56	225	0.91	0.0005	0.0024455866548750136
6000	23.82	11.306971300927582	23.82	265	0.892	0.0005	0.002979556918144226
7000	23.75	10.412852635085162	24.0	306	0.874	0.0005	0.0034756980339686076
8000	26.43	14.396009863847691	26.83	340	0.856	0.0005	0.003963607218530443
9000	27.33	15.240114828963726	27.4	376	0.838	0.0005	0.004454351133770413
10000	30.21	16.100493781247827	30.21	405	0.82	0.0005	0.004929118355115255
11000	30.48	13.978898382919878	30.92	438	0.802	0.0005	0.005336358613438077
12000	33.3	17.097660658698313	33.3	463	0.784	0.0005	0.005761801666683621
13000	37.4	21.392522057952867	37.42	486	0.766	0.0005	0.006167500548892551
14000	39.13	24.508633172823004	39.55	506	0.748	0.0005	0.006587933633062574
15000	43.84	29.585374765245074	43.84	524	0.73	0.0005	0.0071486469109853104
16000	46.1	30.789771028703672	46.1	547	0.712	0.0005	0.007917388942506579
17000	44.91	30.568969560650874	48.01	571	0.694	0.0005	0.008624989986419678
18000	48.91	34.685182715390155	48.91	588	0.6759999999999999	0.0005	0.009246964189741346
19000	50.18	34.07385507981156	50.18	606	0.6579999999999999	0.0005	0.009808404710557725
20000	53.14	36.356572995814666	53.14	620	0.6399999999999999	0.0005	0.010454948875639174
21000	54.0	36.02943241295927	54.0	634	0.622	0.0005	0.01085501081413693
22000	60.85	41.19669282842981	60.85	643	0.604	0.0005	0.011256345841619704
23000	65.85	44.09158082899727	65.85	653	0.586	0.0005	0.011765484677420722
24000	70.46	45.62048224208069	71.15	667	0.5680000000000001	0.0005	0.012179542779922486
25000	77.6	49.44309860840034	77.6	676	0.55	0.0005	0.012621160546938579
26000	81.7	49.88396535962232	81.7	686	0.532	0.0005	0.013012644449869791
27000	86.08	52.388869046773664	86.37	694	0.514	0.0005	0.013423493305842082
28000	91.83	54.191522399725955	91.83	701	0.4959999999999999	0.0005	0.013830295006434123
29000	96.07	57.47943197353293	96.4	710	0.478	0.0005	0.014237764477729797
30000	100.89	59.946959055485046	100.89	718	0.45999999999999996	0.0005	0.014641232556766933
31000	106.33	61.538939704873044	106.41	726	0.44199999999999995	0.0005	0.01504036890135871
32000	111.55	61.64209195022505	111.55	733	0.42399999999999993	0.0005	0.015456977552837795
33000	114.8	63.01301452874635	114.8	739	0.4059999999999999	0.0005	0.015922416978412204
34000	118.5	64.74357110941595	118.5	745	0.3879999999999999	0.0005	0.016404247217708164
35000	124.12	65.80551344682297	124.12	751	0.37	0.0005	0.016875647240214876
36000	127.49	66.75529866609841	127.49	756	0.352	0.0005	0.017325140304035612
37000	133.77	64.96396770518254	133.77	762	0.33399999999999996	0.0005	0.017782758871714273
38000	140.49	64.27246611108058	140.49	767	0.31599999999999995	0.0005	0.018172131379445393
39000	144.58	63.169324834131324	144.58	772	0.29799999999999993	0.0005	0.018565229177474975
40000	148.97	62.806600767753686	148.97	777	0.2799999999999999	0.0005	0.018973911073472766
41000	153.46	62.32052952278245	153.46	783	0.262	0.0005	0.019430773589346143
42000	157.8	60.76841284746542	157.8	788	0.244	0.0005	0.019862201147609285
43000	160.92	59.90537204625309	160.92	793	0.22599999999999998	0.0005	0.020348248349295724
44000	165.73	57.128951504469256	165.73	798	0.20799999999999996	0.0005	0.02078432473871443
45000	168.37	56.381141350632475	168.37	803	0.18999999999999995	0.0005	0.021235478387938607
46000	173.51	51.475915727648776	173.51	808	0.17199999999999993	0.0005	0.02170712027284834
47000	177.87	47.71847755324974	177.87	813	0.15400000000000003	0.0005	0.02216154972712199
48000	180.58	44.3310681125551	180.58	818	0.136	0.0005	0.022607795794804892
49000	183.49	40.63926549533098	183.49	823	0.118	0.0005	0.023074736131562128
50000	187.23	34.767471866674455	187.23	828	0.1	0.0005	0.023552824722396004
51000	190.02	31.797163395498025	190.02	833	0.0984	0.0005	0.02403382917245229
52000	192.2	27.44303190247025	192.2	838	0.09680000000000001	0.0005	0.024444920023282368
53000	193.54	23.90038493413861	193.54	843	0.0952	0.0005	0.0248984295129776
54000	195.4	19.496153466773904	195.4	848	0.0936	0.0005	0.02532745142777761
55000	195.3	19.49794861004613	195.4	853	0.092	0.0005	0.025775759749942357
56000	196.15	18.614711923637174	196.15	858	0.09040000000000001	0.0005	0.02624411086241404
57000	197.53	15.556641668432174	197.53	863	0.0888	0.0005	0.02671775692039066
58000	197.26	15.698802502101874	197.53	868	0.0872	0.0005	0.027135449449221295
59000	197.36	15.658556766190173	197.53	873	0.08560000000000001	0.0005	0.02769083884027269
60000	197.1	15.797151641989133	197.53	878	0.084	0.0005	0.028224655522240533
61000	198.45	4.924175057814253	198.45	883	0.0824	0.0005	0.028762542009353638
62000	198.27	5.18624141358653	198.45	888	0.08080000000000001	0.0005	0.029226370520061915
63000	198.27	5.18624141358653	198.45	893	0.0792	0.0005	0.02970426082611084
64000	197.92	5.770060658260015	198.45	899	0.0776	0.0005	0.030336875584390428
65000	197.72	6.035031068685563	198.45	904	0.07600000000000001	0.0005	0.031054785516526965
66000	196.49	9.05261840574317	198.45	909	0.07440000000000001	0.0005	0.031572404437594945
67000	195.53	10.94573432895208	198.45	915	0.0728	0.0005	0.031993091106414795
68000	195.0	11.64817582284883	198.45	920	0.07120000000000001	0.0005	0.03252743191189236
69000	195.02	11.625816100386244	198.45	925	0.06960000000000001	0.0005	0.032947459750705295
70000	194.9	11.635720862928949	198.45	930	0.068	0.0005	0.033370739486482406
71000	193.96	12.460272870206333	198.45	936	0.06640000000000001	0.0005	0.03376276943418715
72000	191.54	15.343676221818551	198.45	942	0.0648	0.0005	0.03415813638104333
73000	189.88	16.61401817743077	198.45	948	0.0632	0.0005	0.03456410162978702
74000	189.0	17.622712617528553	198.45	953	0.06160000000000001	0.0005	0.034972703059514366
75000	189.0	17.622712617528553	198.45	958	0.060000000000000005	0.0005	0.03537213941415151
76000	188.38	18.30233864838043	198.45	964	0.0584	0.0005	0.03576411227385203
77000	187.4	18.714700104463336	198.45	969	0.0568	0.0005	0.03624950276480781
78000	184.82	22.100398186458087	198.45	976	0.0552	0.0005	0.03680705553955502
79000	184.84	22.425307132790845	198.45	981	0.05360000000000001	0.0005	0.03721349895000458
80000	184.45	22.48838589138847	198.45	986	0.052000000000000005	0.0005	0.03760017527474297
81000	183.29	22.723685880596044	198.45	992	0.05040000000000001	0.0005	0.03798525386386448
82000	181.68	23.13087979303857	198.45	998	0.0488	0.0005	0.038383421964115566
83000	177.54	32.95130346435479	198.45	1005	0.0472	0.0005	0.03881614221466912
84000	177.83	33.111343977555485	198.45	1011	0.0456	0.0005	0.039239671097861396
85000	173.07	42.31743257807591	198.45	1019	0.04400000000000001	0.0005	0.039637515876028276
86000	168.36	46.84688250033293	198.45	1026	0.04240000000000001	0.0005	0.0400462011496226
87000	163.54	50.239112253303205	198.45	1034	0.0408	0.0005	0.04051719976796044
88000	147.38	66.3717982278618	198.45	1049	0.039200000000000006	0.0005	0.040892931355370414
89000	133.67	72.34017625082205	198.45	1062	0.0376	0.0005	0.04148652891318003
90000	125.22	76.41748229299365	198.45	1073	0.036000000000000004	0.0005	0.04192834470007155
91000	125.97	76.98836990091426	198.45	1078	0.034400000000000014	0.0005	0.04235819783475664
92000	95.36	80.2291119232913	198.45	1100	0.03280000000000001	0.0005	0.04279708279503716
93000	93.1	79.73963882536715	198.45	1109	0.031200000000000006	0.0005	0.0432006843884786
94000	69.76	75.43289998402554	198.45	1132	0.0296	0.0005	0.04361157053046756
95000	78.53	79.35420026690458	198.45	1140	0.027999999999999997	0.0005	0.044018338918685916
96000	79.73	80.36614399111109	198.45	1149	0.026400000000000007	0.0005	0.04443882723649343
97000	83.84	81.969106375512	198.45	1155	0.024800000000000003	0.0005	0.04484188192420536
98000	88.68	82.49907635846598	198.45	1160	0.023200000000000012	0.0005	0.04527779943413204
99000	96.29	83.97145884168026	198.45	1165	0.021600000000000008	0.0005	0.04577772723303901
100000	103.21	84.71945408228265	198.45	1171	0.02	0.0005	0.04630674719810486
