Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
37000	136.22	57.35966875776045	136.22	747	0.33399999999999996	0.0005	0.02101553777853648
38000	138.79	58.20176887346294	138.79	752	0.31599999999999995	0.0005	0.021916670600573222
39000	142.39	58.69495634209127	142.39	757	0.29799999999999993	0.0005	0.022775939967897202
40000	146.37	57.506635269332186	146.37	763	0.2799999999999999	0.0005	0.02371349189016554
41000	154.09	53.68018163158541	154.09	769	0.262	0.0005	0.024696770310401916
42000	157.89	53.02657729855849	157.89	774	0.244	0.0005	0.025616708927684362
43000	162.72	51.0572384682133	162.72	779	0.22599999999999998	0.0005	0.026755863891707525
44000	168.19	46.17135367302978	168.19	784	0.20799999999999996	0.0005	0.027706802752282884
45000	171.68	43.58322613116197	171.68	789	0.18999999999999995	0.0005	0.028587924970520866
46000	175.86	37.90303945595921	175.86	794	0.17199999999999993	0.0005	0.02994948863983154
47000	180.61	32.87792420454795	180.61	799	0.15400000000000003	0.0005	0.03078552583853404
48000	182.78	32.243008544489136	182.78	804	0.136	0.0005	0.031616554458936054
49000	185.05	30.946849597333816	185.05	809	0.118	0.0005	0.03251439809799194
50000	187.38	26.143748774802745	187.38	814	0.1	0.0005	0.03394893162780338
51000	189.67	21.75870170759276	189.67	819	0.0984	0.0005	0.0348510789208942
52000	190.71	21.415085804170857	190.71	824	0.09680000000000001	0.0005	0.03579239779048496
53000	191.62	20.893434375420426	191.62	829	0.0952	0.0005	0.03678871969381968
54000	193.68	17.93091185634462	193.68	834	0.0936	0.0005	0.037712393601735436
55000	193.58	17.923269790972856	193.68	839	0.092	0.0005	0.03853540473514133
56000	194.36	17.613358566724294	194.36	844	0.09040000000000001	0.0005	0.039401674138175115
57000	194.9	17.48056063174176	194.9	849	0.0888	0.0005	0.04020960582627191
58000	195.14	17.574424599400125	195.42	855	0.0872	0.0005	0.041064045561684505
59000	197.27	7.511131738959184	197.27	860	0.08560000000000001	0.0005	0.04197633836004469
60000	196.62	9.944626689826018	197.27	865	0.084	0.0005	0.042954062223434446
61000	196.87	9.77717239287515	197.27	870	0.0824	0.0005	0.04418572856320275
62000	196.33	10.651812052416245	197.27	876	0.08080000000000001	0.0005	0.04530400468243493
63000	196.13	10.683309412349715	197.27	881	0.0792	0.0005	0.04635916226440006
64000	195.84	11.069525735098138	197.27	886	0.0776	0.0005	0.047172626124487985
65000	195.69	11.129865228294546	197.27	891	0.07600000000000001	0.0005	0.047993174990018206
66000	195.43	11.696371232138624	197.27	896	0.07440000000000001	0.0005	0.04886091106467777
67000	194.11	13.4126022829278	197.27	902	0.0728	0.0005	0.049836786919169956
68000	193.83	13.577963764865482	197.27	907	0.07120000000000001	0.0005	0.05072196503480275
69000	193.47	13.736415107297827	197.27	912	0.06960000000000001	0.0005	0.051685002512402003
70000	193.34	13.735516007780703	197.27	917	0.068	0.0005	0.05258103887240092
71000	193.34	13.735516007780703	197.27	922	0.06640000000000001	0.0005	0.05338895301024119
72000	190.99	22.52753648315767	197.27	929	0.0648	0.0005	0.054660788045989145
73000	190.9	22.589156690766476	197.27	934	0.0632	0.0005	0.05569998078876071
74000	164.02	62.959507621962864	197.27	953	0.06160000000000001	0.0005	0.05671876390775045
75000	138.98	76.92736574197767	197.27	971	0.060000000000000005	0.0005	0.05783762276172638
76000	104.04	82.09907673049679	197.27	994	0.0584	0.0005	0.058902062243885465
77000	104.97	82.88684515651443	197.27	999	0.0568	0.0005	0.059832497504022385
78000	97.76	81.63750608635715	197.27	1009	0.0552	0.0005	0.06092358191808065
79000	93.84	80.28981504524718	197.27	1016	0.05360000000000001	0.0005	0.0619186927874883
80000	93.1	79.4536972078707	197.27	1021	0.052000000000000005	0.0005	0.06293782558706072
81000	93.29	77.99131938876273	197.27	1027	0.05040000000000001	0.0005	0.06379755642679003
82000	90.66	75.31948220746077	197.27	1034	0.0488	0.0005	0.06455693085988362
83000	97.09	75.0334718642287	197.27	1041	0.0472	0.0005	0.06538090169429779
84000	103.19	73.94115160044505	197.27	1047	0.0456	0.0005	0.0665296522114012
85000	108.16	72.23374834521603	197.27	1054	0.04400000000000001	0.0005	0.06753131581677331
86000	114.8	69.86515583608184	197.27	1061	0.04240000000000001	0.0005	0.06842411365773943
87000	121.91	68.6224591515052	197.27	1066	0.0408	0.0005	0.06926679968833924
88000	125.72	66.09327953733269	197.27	1074	0.039200000000000006	0.0005	0.07013129909833273
89000	135.05	58.61610273636417	197.27	1081	0.0376	0.0005	0.07098862965901692
90000	143.47	51.90654197690307	197.27	1087	0.036000000000000004	0.0005	0.07198108639982012
91000	151.08	44.925200055202865	197.27	1093	0.034400000000000014	0.0005	0.07303027000692155
92000	148.51	44.48876150220413	197.27	1100	0.03280000000000001	0.0005	0.07416111826896668
93000	154.32	37.912235491988596	197.27	1106	0.031200000000000006	0.0005	0.07534387581878238
94000	154.57	38.03899446620533	197.27	1111	0.0296	0.0005	0.07643714023960961
95000	156.2	33.20271073270976	197.27	1117	0.027999999999999997	0.0005	0.07752041889561548
96000	155.73	33.473229602176126	197.27	1124	0.026400000000000007	0.0005	0.07868171413739522
97000	154.55	33.25037593772438	197.27	1130	0.024800000000000003	0.0005	0.0797984594768948
98000	155.61	34.02966206120772	197.27	1136	0.023200000000000012	0.0005	0.0808736499812868
99000	157.8	31.853728196241015	197.27	1142	0.021600000000000008	0.0005	0.08193500611517164
100000	157.51	32.061969683723426	197.27	1149	0.02	0.0005	0.0830560733212365
